Control,25?M,50?M
102,158,151
153,168,290
157,85,158
107,134,143
82,148,172
88,152,209
86,186,157
63,175,177
82,148,94
92,118,211
169,188,209
94,173,201
131,87,134
162,75,294
172,115,184
108,101,133
152,142,136
92,121,119
106,144,159
110,157,117
108,163,138
103,165,95
94,184,160
85,166,192
111,144,148
123,148,173
140,191,212
109,122,205
88,190,298
130,184,210
115,140,199
156,170,100
83,131,138
96,82,209
79,106,227
95,78,229
82,113,195
148,139,329
104,126,297
47,84,289
148,159,368
113,93,267
109,155,262
86,188,250
129,72,261
144,99,225
94,86,198
112,188,206
157,162,282
149,172,177
