Day,Endo L_R1,Endo L_R2,Endo L_R3,Endo D_R1,Endo D_R2,Endo D_R3,Apo L_R1,Apo L_R2,Apo L_R3,Apo D_R1,Apo D_R2,Apo D_R3
D0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
D7,2333.33,3000,3600,733.33,400,666.67,1066.67,1133.33,1666.67,466.67,466.67,533.33
D14,35933.33,40000,38933.33,133.33,200,266.67,1400,800,866.67,133.33,0,666.67
D21,48800,46533.33,52533.33,0,0,0,0,0,0,0,0,0
D28,46466.67,53200,40533.33,0,0,0,0,0,0,0,66.67,3333.33
D35,48933.33,56933.33,61600,0,0,0,0,0,0,2266.67,0,0
D42,40600,61266.67,50333.33,0,0,0,0,0,0,0,233.33,0
D49,47133.33,43866.67,46800,0,0,0,0,1933.33,0,0,7466.67,2666.67
D56,53800,43333.33,47666.67,0,0,0,0,4933.33,0,0,0,0
D63,52133.33,43933.33,49933.33,0,0,0,4666.67,7466.67,0,0,0,0
D70,74200,56333.33,57800,0,0,0,0,0,0,7400,0,0
