logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_id,Category
-0.089347772,6.794259939,-0.29865365,0.776882939,0.821520729,-8.737488153,g4333.t1,None
-0.049589663,8.989688141,-0.356141337,0.735863752,0.785935505,-8.715478403,g5275.t1,None
0.344996158,0.305139225,4.973396218,0.003872217,0.01076477,-3.387043634,g4128.t1,None
-1.727490763,1.020852733,-4.772731071,0.004632849,0.012358196,-3.59487585,g11443.t1,Downregulated
0.215566458,0.562621154,1.913547158,0.112191345,0.166889153,-7.139273117,g5607.t1,None
-0.622872971,0.656315303,-3.287124078,0.020859031,0.041692731,-5.314713207,g2811.t1,None
0.066892624,0.173025066,1.522246324,0.186772467,0.254814588,-7.648144344,g4524.t1,None
0.052499499,0.099810044,2.04708047,0.094365302,0.144552938,-6.960118198,g3074.t1,None
-0.020784712,0.02190247,-0.707089424,0.510220342,0.583680723,-8.505427674,g10680.t1,None
-0.11866578,0.105255853,-1.822736492,0.126264869,0.183956962,-7.259965344,g1750.t2,None
0.148172378,0.192472743,3.550658602,0.015587685,0.032927341,-4.98594392,g2863.t1,None
-1.38293682,2.247928513,-3.135082531,0.024800196,0.047907958,-5.508756061,g5271.t1,Downregulated
0.279990613,5.465319195,0.826562791,0.445084901,0.5229271,-8.407311138,g8784.t1,None
-0.674255157,1.25472796,-3.990992026,0.009815567,0.0225809,-4.459264161,g6877.t1,None
1.2223361,3.394645562,13.13396867,3.71925847748084e-05,0.00031232,2.073418496,g3088.t1,Upregulated
-0.138974429,0.086851119,-2.500087353,0.053085661,0.089903675,-6.347622661,g5660.t1,None
0.117964336,0.314023901,2.85436717,0.034463053,0.062814243,-5.874616329,g6616.t1,None
-0.023123693,0.038837792,-0.854405361,0.430827935,0.509763647,-8.382743632,g5980.t2,None
0.065248479,0.162586239,1.215088511,0.277092872,0.354670256,-8.015353824,g4961.t1,None
0.079934916,0.138737905,1.878206507,0.117467236,0.173305164,-7.186375134,g10644.t1,None
0.107911883,0.18383055,2.349937421,0.064078129,0.10468578,-6.55048851,g8701.t1,None
-0.005668578,0.469242498,-0.08114502,0.938386685,0.952802077,-8.786349896,g4496.t1,None
0.691852108,0.479102103,19.34954503,5.23780405111499e-06,8.06747867284703e-05,4.380518075,g12000.t1,None
-0.611633268,1.813459553,-2.41816393,0.058806046,0.09739857,-6.458206117,g5546.t1,None
0.220104559,0.137257407,6.125238923,0.001515632,0.005170742,-2.29384496,g714.t1,None
0.11171402,0.261445548,1.791548736,0.131502598,0.189962242,-7.301134716,g7307.t2,None
0.95397857,1.314117027,3.68166468,0.013541271,0.029424555,-4.82624066,g2157.t1,None
3.947669111,5.425565652,12.92907788,4.02462927790684e-05,0.000333102,1.980299754,Mtet_Pt_psaJ,Upregulated
-4.0499336,2.771504597,-8.770711923,0.000275004,0.001398818,-0.287838746,g7444.t1,Downregulated
0.078016962,0.095384205,2.527133223,0.051331824,0.087523451,-6.311186947,g12553.t1,None
-0.040401605,0.19333646,-0.89087999,0.412680882,0.493205025,-8.34964017,g9000.t1,None
-0.694161725,1.051447744,-3.406988946,0.01824568,0.037264399,-5.163955904,g7205.t1,None
0.238262254,0.349706005,4.033915971,0.009397717,0.021771788,-4.409469865,g5469.t1,None
0.002106137,0.031666923,0.081111534,0.938412045,0.952802077,-8.786353136,g4817.t1,None
-1.023240044,1.873929296,-2.586743735,0.047684562,0.082414317,-6.231034091,g12094.t1,None
-0.213610507,0.640939001,-2.057571793,0.093095695,0.142874052,-6.945980452,g11221.t1,None
0.327760011,0.202248062,10.93572914,9.28521963901377e-05,0.000614799,0.993408886,g13180.t1,None
-0.039447378,0.532218611,-0.498352513,0.638791636,0.702177125,-8.645483236,g1961.t1,None
-0.526800331,2.959634384,-3.028135036,0.028071858,0.053106055,-5.647038538,g11091.t1,None
-0.365190205,0.504576092,-3.564321632,0.015358628,0.032568885,-4.969170389,g8980.t1,None
0.247587272,0.261208615,5.367796934,0.002761722,0.008301017,-2.994246379,g9457.t1,None
0.077871738,0.058145658,2.706205508,0.04119762,0.072830716,-6.071164481,g4372.t1,None
-0.025997423,0.073142097,-0.877795523,0.41912163,0.49909047,-8.361633239,g9619.t1,None
0.151252966,1.038902433,1.037597737,0.345705591,0.425748168,-8.206673634,g13052.t1,None
0.010823052,0.307456107,0.225738049,0.830092695,0.867358783,-8.760007592,g12523.t1,None
3.79652686,6.392960336,38.19901631,1.61415189804355e-07,1.0154160475543e-05,8.390246388,g3021.t1,Upregulated
1.450704408,4.44080954,4.198526873,0.007973861,0.019063468,-4.221058237,g8192.t1,Upregulated
-0.159172186,0.630290134,-1.585696395,0.171981069,0.237577205,-7.568020531,g6857.t1,None
1.120938542,0.796656467,18.21013728,7.13155869938896e-06,9.79293060496546e-05,4.018416108,g8944.t1,Upregulated
-1.148753097,9.690153581,-11.12116079,8.54096088914215e-05,0.000580131,1.092050919,g6031.t1,Downregulated
0.752391602,1.066359879,4.959472743,0.003920056,0.010864316,-3.401286786,g12968.t1,None
-0.373581586,6.177210234,-5.350602447,0.002801636,0.008394707,-3.010951023,g12744.t1,None
0.105592642,0.196817595,3.401262983,0.018361774,0.037455028,-5.171111803,g1112.t1,None
0.034614728,0.142360505,0.856494562,0.429772277,0.508723559,-8.380875402,g2830.t1,None
0.063278337,0.205469393,1.502452392,0.191633687,0.26026308,-7.672889679,g12012.t1,None
0.726228966,1.854407891,4.873090228,0.004232663,0.011509206,-3.490241511,g1738.t1,None
0.635855838,0.981360888,6.8996887,0.000869664,0.003364473,-1.642745789,g7350.t1,None
1.614069536,5.711241519,13.53174186,3.20149546582804e-05,0.000282856,2.250292105,g5829.t1,Upregulated
-1.219698311,2.768593226,-3.832082977,0.011558737,0.025832823,-4.646005382,g7397.t1,Downregulated
